"TRACTCE","NAME","YEAR","area","sub_nn","central_nn","park_touch","park_in","crime15","ch_crime15","crime15_den","ch_crime15_den","crime20","ch_crime20","crime20_den","ch_crime20_den","star15","ch_star15","star15_den","ch_star15_den","star20","ch_star20","star20_den","ch_star20_den","bike15","ch_bike15","bike15_den","ch_bike15_den","bike20","ch_bike20","bike20_den","ch_bike20_den"
"070103","701.03","all",17.073575672039,2865.00807687053,15850.3615614873,0,0,65,-1,3.80705256172256,-0.0585700394111162,51,-14,2.98707200996693,-0.819980551755629,1,0,0.0585700394111164,0,1,0,0.0585700394111164,0,1,0,0.0585700394111164,0,1,0,0.0585700394111164,0
"030701","307.01","all",17.2674561273549,364.713680174222,36653.7348099143,0,0,64,-26,3.70639424406076,-1.50572266164968,68,4,3.93804388431455,0.231649640253797,1,0,0.0579124100634493,0,1,0,0.0579124100634493,0,1,0,0.0579124100634493,0,1,0,0.0579124100634493,0
"030101","301.01","all",58.8252766347272,1253.77827634822,39527.9332533837,3.09223588616848,0.169655013965774,82,-104,1.39395859554006,-1.76794748702642,124,42,2.10793738837766,0.713978792837593,1,0,0.0169994950675617,0,1,0,0.0169994950675617,0,1,0,0.0169994950675617,0,1,0,0.0169994950675617,0
"807100","8071","all",377.589257340437,8614.14523304317,63422.0033958236,0,0,1,0,0.00264838043074513,0,1,0,0.00264838043074513,0,1,0,0.00264838043074513,0,1,0,0.00264838043074513,0,1,0,0.00264838043074513,0,1,0,0.00264838043074513,0
"807200","8072","all",615.081746389641,6391.91188601235,61848.3911682314,0,0,1,0,0.00162580015724694,0,1,0,0.00162580015724694,0,1,0,0.00162580015724694,0,1,0,0.00162580015724694,0,1,0,0.00162580015724694,0,1,0,0.00162580015724694,0
"807500","8075","all",244.361236739871,5222.43628140037,58798.9854830604,0,0,1,0,0.00409230209071387,0,1,0,0.00409230209071387,0,1,0,0.00409230209071387,0,1,0,0.00409230209071387,0,1,0,0.00409230209071387,0,1,0,0.00409230209071387,0
"807400","8074","all",345.148894914793,2126.57738653853,60396.1957515961,0,0,1,0,0.00289730030932555,0,1,0,0.00289730030932555,0,1,0,0.00289730030932555,0,1,0,0.00289730030932555,0,1,0,0.00289730030932555,0,1,0,0.00289730030932555,0
"807300","8073","all",503.452108374052,2058.64081136856,64246.5804502063,0,0,1,0,0.00198628624921166,0,1,0,0.00198628624921166,0,1,0,0.00198628624921166,0,1,0,0.00198628624921166,0,1,0,0.00198628624921166,0,1,0,0.00198628624921166,0
"807700","8077","all",419.362686422517,2757.58244065374,60183.5917193687,0,0,1,0,0.00238457076029048,0,1,0,0.00238457076029048,0,1,0,0.00238457076029048,0,1,0,0.00238457076029048,0,1,0,0.00238457076029048,0,1,0,0.00238457076029048,0
"807900","8079","all",497.605237194719,8048.45201696848,54409.7284760679,0,0,3,2,0.00602887545338689,0.00401925030225793,1,-2,0.00200962515112896,-0.00401925030225793,1,0,0.00200962515112896,0,1,0,0.00200962515112896,0,1,0,0.00200962515112896,0,1,0,0.00200962515112896,0
